2020-10-08T15:22:37-0400 [INFO    ] dandi Traversing remote dandisets (000034) recursively
2020-10-08T15:22:37-0400 [INFO    ] backups2datalad.py Updating metadata file
2020-10-08T15:22:38-0400 [INFO    ] backups2datalad.py Syncing asset /sub-c1/sub-c1_ecephys.nwb
2020-10-08T15:22:38-0400 [INFO    ] backups2datalad.py Asset not in dataset; will copy
2020-10-08T15:22:38-0400 [INFO    ] backups2datalad.py cp /mnt/backup/dandi/dandiarchive-s3-backup/girder-assetstore/09/67/09678d15ddeb4027afffca06337cd89d -> /mnt/backup/dandi/dandiarchive-replica/000034/sub-c1/sub-c1_ecephys.nwb
2020-10-08T15:23:10-0400 [INFO    ] backups2datalad.py Adding asset to dataset
2020-10-08T15:25:59-0400 [INFO    ] backups2datalad.py Adding URL https://dandiarchive.s3.amazonaws.com/girder-assetstore/09/67/09678d15ddeb4027afffca06337cd89d?versionId=W9qrbNJdEA2mGerCa0HyjC1wuQHcAbva to asset
2020-10-08T15:25:59-0400 [INFO    ] backups2datalad.py Syncing asset /sub-MEAREC-250neuron-Neuropixels/sub-MEAREC-250neuron-Neuropixels_ecephys.nwb
2020-10-08T15:26:00-0400 [INFO    ] backups2datalad.py Asset not in dataset; will copy
2020-10-08T15:26:00-0400 [INFO    ] backups2datalad.py cp /mnt/backup/dandi/dandiarchive-s3-backup/girder-assetstore/3e/82/3e82074a2e4f4199a2ce9c57711645bb -> /mnt/backup/dandi/dandiarchive-replica/000034/sub-MEAREC-250neuron-Neuropixels/sub-MEAREC-250neuron-Neuropixels_ecephys.nwb
2020-10-08T15:26:00-0400 [INFO    ] backups2datalad.py Adding asset to dataset
2020-10-08T15:29:17-0400 [INFO    ] backups2datalad.py Adding URL https://dandiarchive.s3.amazonaws.com/girder-assetstore/3e/82/3e82074a2e4f4199a2ce9c57711645bb?versionId=MRxlWZYX5al9vx2iywIGx7fPHMrWL3Qn to asset
2020-10-08T15:29:17-0400 [INFO    ] backups2datalad.py Syncing asset /sub-mouse412804/sub-mouse412804_ecephys.nwb
2020-10-08T15:29:18-0400 [INFO    ] backups2datalad.py Asset not in dataset; will copy
2020-10-08T15:29:18-0400 [INFO    ] backups2datalad.py cp /mnt/backup/dandi/dandiarchive-s3-backup/girder-assetstore/a4/03/a403624b30e1486a9b9e2f6e9bae14e3 -> /mnt/backup/dandi/dandiarchive-replica/000034/sub-mouse412804/sub-mouse412804_ecephys.nwb
2020-10-08T15:29:20-0400 [INFO    ] backups2datalad.py Adding asset to dataset
2020-10-08T15:30:48-0400 [INFO    ] backups2datalad.py Adding URL https://dandiarchive.s3.amazonaws.com/girder-assetstore/a4/03/a403624b30e1486a9b9e2f6e9bae14e3?versionId=mYoSHFjeteUyyVYH.bo7PlNufRMAEGIJ to asset
2020-10-08T15:30:48-0400 [INFO    ] backups2datalad.py Syncing asset /sub-mouse412804/sub-mouse412804_ses-20200824T155542.nwb
2020-10-08T15:30:49-0400 [INFO    ] backups2datalad.py Asset not in dataset; will copy
2020-10-08T15:30:49-0400 [INFO    ] backups2datalad.py cp /mnt/backup/dandi/dandiarchive-s3-backup/girder-assetstore/22/8f/228f0d70b3bf4ac3820334cc2932a5a7 -> /mnt/backup/dandi/dandiarchive-replica/000034/sub-mouse412804/sub-mouse412804_ses-20200824T155542.nwb
2020-10-08T15:30:49-0400 [INFO    ] backups2datalad.py Adding asset to dataset
2020-10-08T15:30:49-0400 [INFO    ] backups2datalad.py Adding URL https://dandiarchive.s3.amazonaws.com/girder-assetstore/22/8f/228f0d70b3bf4ac3820334cc2932a5a7?versionId=P.L1slBMZ79czBBjqDGgMpRu2qpfT7nV to asset
2020-10-08T15:30:49-0400 [INFO    ] backups2datalad.py Syncing asset /sub-mouse412804/sub-mouse412804_ses-20200824T155543.nwb
2020-10-08T15:30:49-0400 [INFO    ] backups2datalad.py Asset not in dataset; will copy
2020-10-08T15:30:49-0400 [INFO    ] backups2datalad.py cp /mnt/backup/dandi/dandiarchive-s3-backup/girder-assetstore/c6/e3/c6e3fe8ade584d7c8d8de7ebd48fabfc -> /mnt/backup/dandi/dandiarchive-replica/000034/sub-mouse412804/sub-mouse412804_ses-20200824T155543.nwb
2020-10-08T15:30:49-0400 [INFO    ] backups2datalad.py Adding asset to dataset
2020-10-08T15:30:50-0400 [INFO    ] backups2datalad.py Adding URL https://dandiarchive.s3.amazonaws.com/girder-assetstore/c6/e3/c6e3fe8ade584d7c8d8de7ebd48fabfc?versionId=rHA6jou5HHRN1ckw5AX9JZg3Y9o3ecEh to asset
2020-10-08T15:30:50-0400 [INFO    ] backups2datalad.py Syncing asset /sub-P29-16-05-14-retina02-left/sub-P29-16-05-14-retina02-left_ecephys.nwb
2020-10-08T15:30:50-0400 [INFO    ] backups2datalad.py Asset not in dataset; will copy
2020-10-08T15:30:50-0400 [INFO    ] backups2datalad.py cp /mnt/backup/dandi/dandiarchive-s3-backup/girder-assetstore/1c/64/1c64c66c55c648509f954b75ffcdbc37 -> /mnt/backup/dandi/dandiarchive-replica/000034/sub-P29-16-05-14-retina02-left/sub-P29-16-05-14-retina02-left_ecephys.nwb
2020-10-08T15:30:52-0400 [INFO    ] backups2datalad.py Adding asset to dataset
2020-10-08T15:31:36-0400 [INFO    ] backups2datalad.py Adding URL https://dandiarchive.s3.amazonaws.com/girder-assetstore/1c/64/1c64c66c55c648509f954b75ffcdbc37?versionId=atQdafEo7pzgQSQRARrIcAiOdCZ0eA7s to asset
2020-10-08T15:31:36-0400 [INFO    ] backups2datalad.py Commiting changes
2020-10-08T15:31:36-0400 [INFO    ] backups2datalad.py Creating GitHub sibling for 000034
2020-10-08T15:31:37-0400 [INFO    ] datalad.support.github_ Successfully obtained information about organization dandisets-testing using None credential
2020-10-08T15:31:39-0400 [INFO    ] datalad.ui.dialog Clear progress bars
2020-10-08T15:31:39-0400 [INFO    ] datalad.ui.dialog Refresh progress bars
2020-10-08T15:31:39-0400 [INFO    ] backups2datalad.py Pushing to sibling
2020-10-08T15:31:39-0400 [INFO    ] datalad.core.distributed.push Determine push target
2020-10-08T15:31:39-0400 [INFO    ] datalad.core.distributed.push Push refspecs
2020-10-08T15:31:39-0400 [INFO    ] datalad.core.distributed.push Transfer data
2020-10-08T15:31:39-0400 [INFO    ] datalad.core.distributed.push Update availability information
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Start enumerating objects
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Finished enumerating objects
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Start counting objects
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:   1% (1/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:   2% (2/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:   3% (3/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:   4% (4/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:   5% (5/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:   6% (6/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:   8% (7/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:   9% (8/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  10% (9/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  11% (10/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  12% (11/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  13% (12/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  15% (13/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  16% (14/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  17% (15/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  18% (16/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  19% (17/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  20% (18/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  22% (19/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  23% (20/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  24% (21/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  25% (22/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  26% (23/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  27% (24/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  29% (25/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  30% (26/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  31% (27/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  32% (28/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  33% (29/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  34% (30/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  36% (31/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  37% (32/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  38% (33/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  39% (34/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  40% (35/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  41% (36/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  43% (37/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  44% (38/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  45% (39/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  46% (40/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  47% (41/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  48% (42/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  50% (43/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  51% (44/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  52% (45/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  53% (46/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  54% (47/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  55% (48/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  56% (49/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  58% (50/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  59% (51/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  60% (52/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  61% (53/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  62% (54/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  63% (55/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  65% (56/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  66% (57/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  67% (58/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  68% (59/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  69% (60/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  70% (61/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  72% (62/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  73% (63/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  74% (64/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  75% (65/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  76% (66/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  77% (67/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  79% (68/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  80% (69/86)
2020-10-08T15:31:40-0400 [INFO    ] datalad.gitrepo Counting objects:  81% (70/86)
